1 de novembro	83532	993	1876	131	217	97660
2 de novembro	52462	684	1319	74	114	97804
3 de novembro	38836	574	1110	179	124	97924
4 de novembro	36741	541	1068	80	111	98018
5 de novembro	29314	446	795	62	59	98055
6 de novembro	25252	371	742	51	57	98089
7 de novembro	23093	435	739	50	39	98122
8 de novembro	18291	304	487	35	24	98163
9 de novembro	29483	399	668	33	58	98249
10 de novembro	28355	391	714	68	59	98293
11 de novembro	28215	393	762	53	57	98350
12 de novembro	24171	379	689	32	47	98395
13 de novembro	32688	498	894	33	87	98467
14 de novembro	34711	475	810	39	68	98532
15 de novembro	34665	458	850	34	57	98597
16 de novembro	28319	386	591	37	30	98657
17 de novembro	25081	362	557	24	33	98694
18 de novembro	28525	420	754	39	46	98744
19 de novembro	28581	416	859	36	45	98794
20 de novembro	27242	419	761	52	56	98850
21 de novembro	25650	353	526	25	39	98885
22 de novembro	167302	5676	3008	143	242	99227
23 de novembro	149888	4316	2672	139	176	99612
24 de novembro	153083	4715	3023	154	187	99895
25 de novembro	162892	5186	4101	105	198	100292
26 de novembro	119710	3751	2960	45	152	100532
27 de novembro	100879	2826	2541	51	141	100714
28 de novembro	70480	2009	1751	22	89	100832
29 de novembro	44410	1299	933	79	68	100911
30 de novembro	34346	1070	691	22	52	100965
1 de dezembro	45013	1132	1101	41	63	101028
2 de dezembro	447499	15057	10060	378	2554	101435
3 de dezembro	1175135	40267	29385	741	6760	102988
4 de dezembro	1735218	68167	52490	747	12577	104811
5 de dezembro	1062348	39987	32028	426	9279	105698
6 de dezembro	89848	2509	2404	96	425	105846
7 de dezembro	74633	2376	2316	146	143	106090
8 de dezembro	54982	1618	1832	157	130	106317
9 de dezembro	55505	1452	1474	96	74	106430
10 de dezembro	49299	1241	1278	63	76	106526
11 de dezembro	51262	1133	1176	51	87	106625
12 de dezembro	54479	1111	1439	15	72	106716
13 de dezembro	47483	1263	1065	4	57	106810
14 de dezembro	42807	1320	919	18	79	106888
15 de dezembro	46470	1301	1366	28	75	106950
16 de dezembro	43883	990	1094	20	52	107011
17 de dezembro	47593	998	1158	32	64	107104
18 de dezembro	52651	970	1310	24	70	107203
19 de dezembro	49268	840	1042	69	60	107276
